id,title,url,editors,year,in_franzini,in_sahle,franzini_id,tei_declared,xml_downloadable,available,period,language,variance,ride
1078,Thecae: Inventaires mauristes,https://www.unicaen.fr/services/puc/sources/maur/accueil,"Directed by Jérémy Delmulle. Caen: Maison de la recherche en sciences humaines, 2018.",2018,no,yes,,,,,,,,
1079,Theodor Fontane: Notizbücher,https://fontane-nb.dariah.eu/index.html,"Hrsg. von Gabriele Radecke. Göttingen: Universität Göttingen, 2015.",2015,yes,yes,217,yes,yes,yes,Long Nineteenth Century,GER,yes,no
1080,Thesaurus Inscriptionum Raeticarum,https://tir.univie.ac.at,"Ed. Stefan Schumacher, Corinna Salomon, Sindy Kluge, Gudrun Bajc, and Martin Braun. Vienna: University of Vienna, 2013-.",2013,yes,yes,323,no,no,yes,Antiquity,RAE,yes,no
1081,Thesaurus musicarum italicarum (TMI),http://euromusicology.cs.uu.nl/,"Ed. by Frans Wiering et al. Utrecht: Institute of Information and Computing Sciences, 1997-2005. Online version 2000-2005.",2000,no,yes,,,,,,,,
1082,Thomas A. Edison Papers,http://edison.rutgers.edu/,"Ed. by Paul Israel et al. Newark (NJ): Rutgers University, 2005-.",2005,no,yes,,,,,,,,
1083,"THOMAS BERNHARD: ""Heldenplatz"". Historisch-kritische Edition",https://hp.ace.oeaw.ac.at,"Hrsg. v. Barbara Tumfart, Silvia Waltl u. Konstanze Fliedl. Wien: Österreichische Akademie der Wissenschaften (ÖAW), 2024.",2024,no,yes,,,,,,,,
1084,"THOMAS BERNHARD: ""Wittgensteins Neffe"". Kommentierte Edition",https://wn.ace.oeaw.ac.at/,"Hrsg. von Barbara Tumfart, Silvia Waltl und Konstanze Fliedl. Wien: Austrian Corpora and Editions (ACE), 2021.",2021,no,yes,,,,,,,,
1085,Thomas Lovell Beddoes: The Brides' Tragedy,http://www.rc.umd.edu/editions/beddoes/intro.html,,,yes,no,123,no,no,no,Long Nineteenth Century,ENG,not provided,no
1086,Thomas Lovell Beddoes. The Brides' Tragedy (1822),https://romantic-circles.org/editions/beddoes/index.html,"Ed. by David Baulch. A Romantic Circles Electronic Edition. College Park (MD): University of Maryland, 2007.",2007,no,yes,,,,,,,,
1087,Thomas Raddall Electronic Archive Project,http://findingaids.library.dal.ca/thomas-head-raddall-fonds,"Ed. by Michael Moosberger et al. Halifax (NS): Dalhousie University Libraries, 2001-2006.",2001,no,yes,,,,,,,,
1088,Thoughts in Prison by William Dodd,https://romantic-circles.org/editions/prison/index.html,"Ed. by Charles Rzepka. A Romantic Circles Electronic Edition. College Park (MD): University of Maryland, 2010.",2010,no,yes,,,,,,,,
1089,Tibetan Sources for a Social History of Mustang (Nepal),http://www.tibetanhistory.net/documents/mustang,"Ed. by Charles Ramble and Nyima Drandul. Halle: International Institute for Tibetan and Buddhist Studies, 2019.",2019,no,yes,,,,,,,,
1090,Transforming Middlemarch: A Genetic Edition of Andrew Davies' 1994 BBC Adaptation of George Eliot's Novel,https://middlemarch.dmu.ac.uk,"Justin Smith; Gabriel Egan; Anna Blackwell. Leicester: De Montfort University, 2022.",1994,no,yes,,,,,,,,
1091,Travel Journals of Johann Conrad Fischer 1794–1851,https://johannconradfischer.com,"Unter der Leitung von Franziska Eggimann. Schlatt: Eisenbibliothek, 2023.",2023,no,yes,,,,,,,,
1092,travel!digital,https://traveldigital.acdh.oeaw.ac.at/,,,yes,no,302,yes,yes,yes,Long Nineteenth Century,GER,yes,no
1093,TraveLab,https://eadh2021.culintec.de/RUSINEK_Sinai_TraveLab.html,"Ed. by Sinai Rusinek. Haifa: University of Haifa, Eliyahu Laboratory, 2022.""",2022,no,yes,,,,,,,,
1094,Travels into Several Remote Nations of the World by Lemuel Gulliver - or: Gulliver's Travels by Jonathan Swift,http://web.archive.org/web/20100313025726/http://www.jaffebros.com/lee/gulliver/index.html,Created by Lee Jaffe. Santa Cruz (CA): 1998-2005.,1998,no,yes,,,,,,,,
1095,Tristram Shandy Web [Laurence Sterne],http://www.tristramshandyweb.it,"Ed. by Patrizia Nerozzi Bellman. Mailand: Istituto Universitario di Lingue Moderne, 2000-.",2000,no,yes,,,,,,,,
1096,U. D. Metzger – Handschrift eines Hinterglasmalers,https://ulrichdanielmetzger.digital,"Geleitet von Uta Bergmann und Sophie Wolf. Romont: Vitrocentre Romont, 2022.",2022,no,yes,,,,,,,,
1097,"U.S. Constitutional Convention 1787: Grand Convention at Philadelphia, May to September, 1787, Quill Project 2021 Edition.",https://www.quillproject.net/negotiation/156/overview,"Ed. by Kieran Hazzard, Lauren Davis, and Grace Mallon. Oxford: Quill Project at Pembroke College, 2019, Relaunch 2021.",2019,no,yes,,,,,,,,
1098,Ubi Erat Lupa – Bilddatenbank zu antiken Steindenkmälern,http://lupa.at/,"Hrsg. von Jakob Egger, Friederike und Ortolf Harl. Wien: 2002-.",2002,no,yes,,,,,,,,
1099,Ulrich Richental - Die Chronik des Konzils von Konstanz,https://edition.mgh.de/001/html/,"Hg. von Thomas Martin Buck (MGH DE 1, 2019).",2019,no,yes,,,,,,,,
1100,Ulrich Richental die Chronik des Konzils von Konstanz,https://edition.mgh.de/001/,,,yes,no,305,yes,yes,yes,Middle Ages,GMH,partly,no
1101,Une nouvelle édition du *Rotulus de denariis*,https://journals.openedition.org/tabularia/2569?lang=en,"Edited by Thomas Jarry. Tabularia - Sources écrites de la Normandie médiévale. Caen: Université de Caen / Maison de la Recherche en Science Humaines, 2007.",2007,no,yes,,,,,,,,
1102,Urfehdebücher der Stadt Basel – digitale Edition,http://gams.uni-graz.at/context:ufbas,"Hrsg. von Susanna Burghartz, Sonia Calvi und Georg Vogeler. Basel/Graz: Universität Basel / ZIM, 2017.",2017,no,yes,,,,,,,,
1103,Urkundenbuch der Steiermark. Band I: Von den Anfängen bis 1192,http://gams.uni-graz.at/collection:stub,"Hg. von Friedrich Hausmann. Graz: Karl-Franzens-Universität Graz, 2007-.",2007,no,yes,,,,,,,,
1104,Urkundenbuch zur Geschichte der Deutschen in Siebenbürgen,https://siebenbuergenurkundenbuch.ub.rptu.de/,"Projekt geleitet von Martin Armgart. Trier: Kompetenzzentrum für elektronische Erschließungs- und Publikationsverfahren in den Geisteswissenschaften, 2012.",2012,no,yes,,,,,,,,
1105,"Ursus from Benevento, De nomine",http://www1.unipa.it/paolo.monella/ursus/transcription.html,,,yes,no,241,yes,yes,no,Middle Ages,LAT,yes,no
1106,Utrechtse Kronieken,http://www.utrechtsekronieken.nl,"Kaj van Vliet, Bart Jaski, Carla de Glopper en Hans Mulder. Utrecht: Het Utrechts Archief / Universiteitsbibliotheek Utrecht, 2015.",2015,no,yes,,,,,,,,
1107,Van Nu en Straks brieven,http://www.vnsbrieven.org/VNS/,,,yes,no,238,yes,no,yes,Modern,DUT,yes,no
