id,Edition name,URL,Historical Period,Language,Writing support,Account of textual variance,Value of witnesses,Text-Image Linking,Images,Indices,Linked Open Data,API,Source Text Translation,XML-TEI Transcription,XML(-TEI) available to download,RIDE review,Sahle Catalog
340,Open Arabic Periodical Editions (OpenArabicPE),https://openarabicpe.github.io/,Long Nineteenth Century; Modern,ARA,Newspaper; journal; magazine,yes,not provided,no,yes,no,yes,no,no,yes,yes,no,no
341,Korespondencja Jana Lechonia i Kazimierza Wierzyńskiego. Naukowa Edycja Cyfrowa,https://tei.nplp.pl/categories/korespondencja-jana-lechonia-i-kazimierza-wierzynskiego,Modern; Contemporary,POL; ENG,Letter; postcard,yes,partly,no,partly,yes,yes,yes,no,yes,yes,no,no
342,Korespondencja Mieczysława Grydzewskiego i Kazimierza i Haliny Wierzyńskich. Naukowa Edycja Cyfrowa,https://tei.nplp.pl/categories/korespondencja-mieczyslawa-grydzewskiego-i-kazimierza-i-haliny-wierzynski,Modern; Contemporary,POL; ENG,Letter; postcard,yes,partly,no,partly,yes,yes,yes,no,yes,yes,no,no
343,Die Ministerratsprotokolle Österreichs und der österreichisch-ungarischen Monarchie 1848–1918 – Digitale Edition,https://mrp.oeaw.ac.at,Long Nineteenth Century,GER,Minute; record,yes,yes,no,partly,yes,yes,yes,no,yes,yes,no,yes
344,Digital Scholarly Edition of Habsburg-Ottoman Diplomatic Sources 1500–1918,https://qhod.net/,Early Modern;Long Nineteenth Century,GER; LAT; OTA,Letter; record; note; material artifact; miscellaneous Ottoman source genres,yes,yes,no,yes,no,yes,no,ENG,yes,yes,no,yes
345,Familiensache? Die Korrespondenz der Kaiserin Eleonora Magdalena (1655–1720),https://kaiserin-eleonora.oeaw.ac.at/,Early Modern,GER,Letter,yes,,yes,yes,yes,yes,yes,no,yes,yes,no,no
347,Renan Source,http://www.renansource.org,Long Nineteenth Century,FRE,Letter; manuscript,yes,yes,yes,yes,yes,no,no,no,partly,partly,no,no
348,The Mary Hamilton Papers (c. 1740 – c. 1850),https://www.digitalcollections.manchester.ac.uk/collections/maryhamilton/,Early Modern; Long Nineteenth Century,ENG; FRE,Letter; journal; note; diary; manuscript,yes,yes,no,yes,yes,no,no,no,yes,partly,no,yes
349,Bullinger Digital,https://www.bullinger-digital.ch,Early Modern,GER;LAT,Letter,yes,partly,no,yes,yes,yes,yes,no,yes,yes,no,https://digitale-edition.de/e820
350,Akademieprotokolle,https://akademieprotokolle.acdh.oeaw.ac.at/,Long Nineteenth Century,GER,protocol,yes,yes,no,yes,yes,no,no,no,yes,yes,no,no
351,Hanslick Online,https://hanslick.acdh.oeaw.ac.at/,Long Nineteenth century,GER,Print,yes,yes,no,yes,yes,no,no,no,yes,yes,no,https://digitale-edition.de/e825
352,Staribacher  – Tagebücher,https://staribacher.acdh.oeaw.ac.at,Modern,GER,typescript,no,yes,no,yes,yes,yes,yes,no,yes,yes,no,https://digitale-edition.de/e613
353,Cultiver dans l'Antiquité,https://agriculture-antiquite.huma-num.fr/,Antiquity [700 BC - 500 AD],FRE; ENG,_No response_,partly,,no,partly,yes,yes,yes,FRE,yes,yes,_No response_,_No response_
354,Arnold Schönberg: Briefwechsel mit den Verlagen Universal-Edition und Dreililien,https://www.schoenberg-ue.at,Long Nineteenth Century Modern,GER,letter,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,no
355,Arnold Schönberg: Briefwechsel mit den Verlagen C. F. Peters und C. F. Peters Corporation,https://www.schoenberg-peters.at,Long Nineteenth Century Modern,GER,letter,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,no
356,Industriegeschichte privat: Die Familie Engels in Briefen (1791–1858),https://familie-engels-briefe.de,Long Nineteenth Century [1789 - 1914],GER,Letter,yes,,no,yes,yes,yes,no,no,yes,partly,_No response_,_No response_
357,Digitale Edition der Korrespondenzen von Hans Georg und Hermann Nägeli,https://naegeli-briefe.ch,Long Nineteenth Century,GER,Manuscript; Letter,no,yes,no,yes,yes,yes,no,no,yes,yes,no,yes
359,Künstlike Werltspröke und Eyn schön rimbökelin (WSRB). Digitale Edition mittelniederdeutscher Spruchsammlungen des 16. Jahrhunderts,https://purl.uni-rostock.de/wsrb/edition,Middle Ages; Early Modern,GER,Print,yes,yes,partly,yes,yes,no,no,yes,yes,yes,no,yes
